puntuacion,puesto,golesAF,golesEC,partidosGanados,partidosPerdidos,equipo,temporada,división
58,5,49,37,17,14,Xerez,1988,2ª
57,6,53,37,15,11,Lleida,1988,2ª
56,7,44,36,14,10,Figueres,1988,2ª
55,8,52,47,14,11,Barcelona B,1988,2ª
52,9,42,45,15,16,Sestao,1988,2ª
49,10,34,45,12,13,Castellón,1988,2ª
49,11,48,57,13,15,Tenerife,1988,2ª
45,12,55,71,12,17,Rec. Huelva,1988,2ª
45,13,34,50,11,15,Burgos (Real),1988,2ª
44,14,35,47,11,16,Rac. Santander,1988,2ª
42,15,44,53,11,18,Ath. Bilbao B,1988,2ª
39,16,46,56,10,19,Hércules,1988,2ª
39,17,35,47,8,15,Dptivo. Coruña,1988,2ª
35,18,36,46,8,19,Granada,1988,2ª
32,19,35,79,8,22,Cartagena F.C.,1988,2ª
87,0,91,37,25,1,Real Madrid,1989,1ª
80,1,80,26,23,4,Barcelona,1989,1ª
67,2,39,26,18,7,Valencia,1989,1ª
65,3,69,45,19,11,At. Madrid,1989,1ª
61,4,40,31,18,13,Valladolid,1989,1ª
58,5,48,42,15,10,Zaragoza,1989,1ª
57,6,45,35,15,11,Ath. Bilbao,1989,1ª
53,7,42,48,14,13,Celta,1989,1ª
51,8,38,39,13,13,Sevilla,1989,1ª
50,9,39,43,13,14,Osasuna,1989,1ª
48,10,42,42,13,16,Sporting Gijón,1989,1ª
47,11,41,48,12,15,Oviedo,1989,1ª
45,12,39,53,12,17,Málaga (C.D.),1989,1ª
43,13,25,37,9,13,Logroñés,1989,1ª
42,14,31,41,9,14,Cádiz,1989,1ª
38,15,36,55,9,18,Betis,1989,1ª
37,16,29,44,7,15,Espanyol,1989,1ª
33,17,27,58,9,23,Murcia,1989,1ª
19,18,29,71,4,27,Elche,1989,1ª
72,0,49,29,21,8,Castellón,1989,2ª
72,1,53,27,22,12,Mallorca,1989,2ª
71,2,58,37,21,11,Tenerife,1989,2ª
68,3,61,36,19,8,Rayo Vallecano,1989,2ª
59,4,56,43,17,13,Rac. Santander,1989,2ª
58,5,46,36,16,12,Rec. Huelva,1989,2ª
57,6,52,50,16,13,Figueres,1989,2ª
56,7,35,33,14,10,Salamanca,1989,2ª
56,8,43,35,16,14,Dptivo. Coruña,1989,2ª
55,9,52,53,15,13,Las Palmas,1989,2ª
55,10,39,32,14,11,Sestao,1989,2ª
54,11,49,43,15,14,Sabadell,1989,2ª
53,12,40,38,13,11,Xerez,1989,2ª
49,13,50,59,13,15,Real Madrid B,1989,2ª
45,14,27,34,9,11,Burgos (Real),1989,2ª
42,15,36,42,8,12,Éibar,1989,2ª
36,16,42,58,8,18,Barcelona B,1989,2ª
35,17,29,58,9,21,Alzira,1989,2ª
34,18,29,43,8,20,Lleida,1989,2ª
14,19,19,75,3,30,Mollerussa,1989,2ª
88,0,107,38,26,2,Real Madrid,1990,1ª
74,1,83,39,23,10,Barcelona,1990,1ª
73,2,67,42,20,5,Valencia,1990,1ª
70,3,55,35,20,8,At. Madrid,1990,1ª
61,4,64,46,18,13,Sevilla,1990,1ª
59,5,43,35,15,9,Real Sociedad,1990,1ª
59,6,47,51,18,15,Logroñés,1990,1ª
56,7,52,52,16,14,Zaragoza,1990,1ª
54,8,42,42,14,12,Osasuna,1990,1ª
51,9,41,46,12,11,Oviedo,1990,1ª
50,10,36,34,11,10,Mallorca,1990,1ª
48,11,37,39,11,12,Ath. Bilbao,1990,1ª
46,12,37,34,12,16,Sporting Gijón,1990,1ª
42,13,28,63,12,20,Cádiz,1990,1ª
41,14,30,48,9,15,Castellón,1990,1ª
38,15,31,41,8,16,Valladolid,1990,1ª
37,16,23,50,9,19,Málaga (C.D.),1990,1ª
27,17,24,51,5,21,Celta,1990,1ª
25,18,32,75,6,25,Rayo Vallecano,1990,1ª
68,0,53,24,18,6,Burgos (Real),1990,2ª
64,1,45,39,19,14,Dptivo. Coruña,1990,2ª
63,2,44,29,16,7,Betis,1990,2ª
60,3,51,34,16,12,Espanyol,1990,2ª
60,4,50,36,15,8,Ath. Bilbao B,1990,2ª
55,5,42,37,15,13,Las Palmas,1990,2ª
53,6,29,39,13,11,Palamós,1990,2ª
53,7,41,39,13,11,Sabadell,1990,2ª
51,8,38,39,13,13,Murcia,1990,2ª
50,9,35,33,14,16,Salamanca,1990,2ª
49,10,33,32,13,15,Sestao,1990,2ª
49,11,26,31,11,11,Xerez,1990,2ª
48,12,39,41,12,14,Elche,1990,2ª
48,13,37,47,12,14,Figueres,1990,2ª
45,14,35,42,11,15,Éibar,1990,2ª
45,15,34,43,9,11,Levante,1990,2ª
44,16,32,36,11,16,Rac. Santander,1990,2ª
42,17,36,44,11,18,Real Madrid B,1990,2ª
41,18,39,56,12,21,Rec. Huelva,1990,2ª
37,19,33,52,8,17,At. Madrid B,1990,2ª
82,0,74,33,25,6,Barcelona,1991,1ª
66,1,63,37,20,12,Real Madrid,1991,1ª
64,2,52,28,17,8,At. Madrid,1991,1ª
60,3,43,34,15,8,Osasuna,1991,1ª
60,4,50,37,16,10,Sporting Gijón,1991,1ª
55,5,36,35,13,9,Oviedo,1991,1ª
55,6,44,40,15,13,Valencia,1991,1ª
53,7,45,47,15,15,Sevilla,1991,1ª
51,8,41,50,15,17,Ath. Bilbao,1991,1ª
50,9,28,35,13,14,Logroñés,1991,1ª
49,10,38,40,12,13,Valladolid,1991,1ª
49,11,37,53,14,17,Tenerife,1991,1ª
47,12,39,45,11,13,Real Sociedad,1991,1ª
47,13,32,27,10,11,Burgos (Real),1991,1ª
46,14,39,47,12,16,Espanyol,1991,1ª
44,15,36,40,11,16,Zaragoza,1991,1ª
43,16,32,40,9,13,Mallorca,1991,1ª
36,17,27,48,8,18,Castellón,1991,1ª
31,18,37,65,6,19,Betis,1991,1ª
68,0,60,32,20,10,Dptivo. Coruña,1991,2ª
67,1,58,41,18,9,Murcia,1991,2ª
67,2,56,31,18,7,Albacete,1991,2ª
65,3,53,36,17,9,Málaga (C.D.),1991,2ª
59,4,41,36,16,11,Lleida,1991,2ª
55,5,46,39,12,7,Orihuela,1991,2ª
53,6,44,42,14,13,Figueres,1991,2ª
48,7,35,37,10,10,Avilés,1991,2ª
47,8,32,45,11,13,Sabadell,1991,2ª
47,9,35,43,11,13,Ath. Bilbao B,1991,2ª
47,10,29,27,9,9,Sestao,1991,2ª
46,11,35,34,9,10,Éibar,1991,2ª
46,12,39,45,12,16,Elche,1991,2ª
46,13,38,43,10,12,Las Palmas,1991,2ª
44,14,44,50,8,10,Rayo Vallecano,1991,2ª
44,15,31,38,8,10,Celta,1991,2ª
44,16,33,46,9,12,Palamós,1991,2ª
40,17,41,40,9,16,Salamanca,1991,2ª
33,18,27,51,6,17,Levante,1991,2ª
30,19,37,61,6,20,Xerez,1991,2ª
78,0,87,37,23,6,Barcelona,1992,1ª
77,1,78,32,23,7,Real Madrid,1992,1ª
77,2,67,35,24,9,At. Madrid,1992,1ª
67,3,63,42,20,11,Valencia,1992,1ª
60,4,44,38,16,10,Real Sociedad,1992,1ª
58,5,40,41,17,14,Zaragoza,1992,1ª
56,6,45,47,16,14,Albacete,1992,1ª
53,7,37,43,15,15,Sporting Gijón,1992,1ª
50,8,41,46,14,16,Oviedo,1992,1ª
49,9,36,51,13,15,Logroñés,1992,1ª
49,10,40,43,12,13,Burgos (Real),1992,1ª
47,11,48,45,13,17,Sevilla,1992,1ª
46,12,38,58,13,18,Ath. Bilbao,1992,1ª
46,13,46,50,12,16,Tenerife,1992,1ª
44,14,43,60,12,18,Espanyol,1992,1ª
43,15,30,40,10,15,Osasuna,1992,1ª
37,16,30,49,10,21,Mallorca,1992,1ª
35,17,32,55,7,17,Cádiz,1992,1ª
34,18,31,53,7,18,Valladolid,1992,1ª
75,0,61,26,22,7,Celta,1992,2ª
68,1,52,27,20,10,Rayo Vallecano,1992,2ª
65,2,55,45,18,11,Betis,1992,2ª
64,3,44,30,16,8,Figueres,1992,2ª
60,4,52,36,17,12,Lleida,1992,2ª
58,5,59,53,17,14,Barcelona B,1992,2ª
57,6,58,48,16,13,Mérida,1992,2ª
56,7,36,32,15,12,Compostela,1992,2ª
54,8,34,35,16,16,Sabadell,1992,2ª
52,9,39,44,15,16,Rac. Santander,1992,2ª
48,10,39,46,13,16,Palamós,1992,2ª
48,11,42,48,13,16,Castellón,1992,2ª
47,12,36,40,12,15,Ath. Bilbao B,1992,2ª
47,13,19,22,11,13,Éibar,1992,2ª
47,14,32,36,11,13,Murcia,1992,2ª
45,15,44,55,11,15,Real Madrid B,1992,2ª
43,16,26,44,11,17,Málaga (C.D.),1992,2ª
40,17,25,45,10,18,Sestao,1992,2ª
36,18,31,56,9,20,Avilés,1992,2ª
33,19,39,58,8,21,Las Palmas,1992,2ª
83,0,87,34,25,5,Barcelona,1993,1ª
81,1,75,28,24,5,Real Madrid,1993,1ª
76,2,67,33,22,6,Dptivo. Coruña,1993,1ª
67,3,60,33,19,9,Valencia,1993,1ª
60,4,46,44,17,12,Sevilla,1993,1ª
59,5,52,42,16,11,At. Madrid,1993,1ª
59,6,59,47,15,9,Tenerife,1993,1ª
57,7,53,49,17,15,Ath. Bilbao,1993,1ª
47,8,46,59,13,17,Real Sociedad,1993,1ª
46,9,37,52,11,14,Zaragoza,1993,1ª
46,10,42,41,12,16,Osasuna,1993,1ª
45,11,38,57,11,15,Sporting Gijón,1993,1ª
44,12,32,48,11,16,Logroñés,1993,1ª
43,13,42,52,11,17,Oviedo,1993,1ª
42,14,54,59,11,18,Albacete,1993,1ª
41,15,40,49,8,13,Rayo Vallecano,1993,1ª
38,16,40,56,9,18,Espanyol,1993,1ª
27,17,30,70,5,21,Cádiz,1993,1ª
26,18,29,69,4,20,Burgos (Real),1993,1ª
80,0,56,20,23,4,Lleida,1993,2ª
79,1,57,38,24,9,Rac. Santander,1993,2ª
74,2,60,38,22,10,Mallorca,1993,2ª
72,3,50,30,20,6,Valladolid,1993,2ª
59,4,45,41,17,13,Marbella,1993,2ª
59,5,49,33,16,11,Betis,1993,2ª
57,6,57,41,15,11,Real Madrid B,1993,2ª
54,7,59,55,15,14,Barcelona B,1993,2ª
52,8,43,42,13,12,Mérida,1993,2ª
50,9,37,36,14,16,Badajoz,1993,2ª
49,10,40,45,13,15,Castellón,1993,2ª
47,11,38,51,13,17,Villarreal,1993,2ª
45,12,35,39,10,13,Compostela,1993,2ª
45,13,33,50,12,17,Palamós,1993,2ª
43,14,41,59,11,17,Figueres,1993,2ª
42,15,33,44,10,16,Éibar,1993,2ª
42,16,33,34,9,14,Ath. Bilbao B,1993,2ª
32,17,23,41,7,20,Lugo,1993,2ª
32,18,30,57,8,22,Sabadell,1993,2ª
31,19,29,54,7,21,Sestao,1993,2ª
81,0,91,42,25,7,Barcelona,1994,1ª
78,1,54,18,22,4,Dptivo. Coruña,1994,1ª
65,2,71,47,19,11,Zaragoza,1994,1ª
64,3,61,50,19,12,Real Madrid,1994,1ª
59,4,61,47,16,11,Ath. Bilbao,1994,1ª
57,5,56,42,15,11,Sevilla,1994,1ª
54,6,55,50,14,12,Valencia,1994,1ª
53,7,44,42,15,15,Rac. Santander,1994,1ª
51,8,50,57,15,17,Tenerife,1994,1ª
50,9,42,57,15,18,Sporting Gijón,1994,1ª
49,10,43,49,12,13,Oviedo,1994,1ª
48,11,39,47,12,14,Real Sociedad,1994,1ª
48,12,54,54,13,16,At. Madrid,1994,1ª
44,13,41,51,11,16,Celta,1994,1ª
42,14,47,58,9,14,Logroñés,1994,1ª
40,15,40,58,9,16,Rayo Vallecano,1994,1ª
38,16,28,51,8,16,Valladolid,1994,1ª
34,17,29,48,7,18,Lleida,1994,1ª
34,18,34,63,8,20,Osasuna,1994,1ª
75,0,60,38,22,10,Compostela,1994,2ª
73,1,66,38,22,9,Betis,1994,2ª
72,2,59,25,20,6,Espanyol,1994,2ª
68,3,51,36,19,10,Toledo,1994,2ª
67,4,66,39,20,11,Mallorca,1994,2ª
65,5,57,41,19,11,Real Madrid B,1994,2ª
60,6,41,35,16,10,Hércules,1994,2ª
50,7,59,51,11,10,Barcelona B,1994,2ª
49,8,47,41,12,13,Mérida,1994,2ª
48,9,29,48,14,18,Villarreal,1994,2ª
47,10,45,46,12,15,Badajoz,1994,2ª
45,11,40,41,10,13,Marbella,1994,2ª
45,12,53,59,11,15,Leganés,1994,2ª
45,13,30,40,10,13,Éibar,1994,2ª
45,14,40,49,11,15,Palamós,1994,2ª
44,15,46,52,10,14,Ath. Bilbao B,1994,2ª
41,16,40,64,10,17,Murcia,1994,2ª
41,17,30,48,9,15,Castellón,1994,2ª
36,18,38,68,10,22,Burgos (Real),1994,2ª
22,19,28,67,4,24,Cádiz,1994,2ª
78,0,76,29,23,6,Real Madrid,1995,1ª
71,1,68,32,20,7,Dptivo. Coruña,1995,1ª
64,2,60,45,18,10,Barcelona,1995,1ª
61,3,46,25,15,7,Betis,1995,1ª
61,4,56,51,18,13,Zaragoza,1995,1ª
59,5,55,41,16,11,Sevilla,1995,1ª
58,6,39,42,16,12,Ath. Bilbao,1995,1ª
57,7,51,35,14,9,Espanyol,1995,1ª
51,8,53,48,13,13,Valencia,1995,1ª
50,9,56,44,12,12,Real Sociedad,1995,1ª
49,10,42,47,13,15,Rac. Santander,1995,1ª
48,11,56,54,13,16,At. Madrid,1995,1ª
48,12,57,57,13,16,Tenerife,1995,1ª
47,13,36,48,11,13,Celta,1995,1ª
45,14,44,56,11,15,Compostela,1995,1ª
44,15,44,61,10,14,Albacete,1995,1ª
36,16,42,67,8,18,Sporting Gijón,1995,1ª
33,17,25,63,8,21,Valladolid,1995,1ª
15,18,15,79,2,27,Logroñés,1995,1ª
79,0,55,19,23,5,Mérida,1995,2ª
73,1,61,31,20,5,Rayo Vallecano,1995,2ª
66,2,58,39,19,12,Lleida,1995,2ª
63,3,53,39,16,9,Salamanca,1995,2ª
55,4,39,35,14,11,Osasuna,1995,2ª
55,5,32,27,12,7,Éibar,1995,2ª
53,6,64,48,11,7,Barcelona B,1995,2ª
52,7,42,40,13,12,Real Madrid B,1995,2ª
52,8,43,44,13,12,Hércules,1995,2ª
51,9,49,54,13,13,Toledo,1995,2ª
51,10,53,40,13,13,Mallorca,1995,2ª
49,11,41,36,11,11,Villarreal,1995,2ª
47,12,42,54,13,17,Marbella,1995,2ª
43,13,32,40,9,13,Badajoz,1995,2ª
42,14,35,48,8,12,Extremadura,1995,2ª
42,15,42,52,10,16,Ath. Bilbao B,1995,2ª
38,16,52,57,8,16,Palamós,1995,2ª
38,17,39,66,10,20,Leganés,1995,2ª
35,18,26,42,5,13,Getafe,1995,2ª
24,19,26,71,4,22,Ourense,1995,2ª
87,0,75,32,26,7,At. Madrid,1996,1ª
83,1,77,51,26,11,Valencia,1996,1ª
80,2,72,39,22,6,Barcelona,1996,1ª
74,3,63,36,20,8,Espanyol,1996,1ª
72,4,69,54,20,10,Tenerife,1996,1ª
63,5,62,53,17,13,Real Sociedad,1996,1ª
62,6,61,54,16,12,Betis,1996,1ª
61,7,63,44,16,13,Dptivo. Coruña,1996,1ª
59,8,47,54,17,17,Compostela,1996,1ª
52,9,49,51,12,14,Celta,1996,1ª
48,10,44,55,11,16,Ath. Bilbao,1996,1ª
48,11,43,55,11,16,Sevilla,1996,1ª
48,12,51,59,11,16,Zaragoza,1996,1ª
48,13,48,67,12,18,Oviedo,1996,1ª
47,14,47,69,11,17,Rac. Santander,1996,1ª
47,15,57,62,11,17,Valladolid,1996,1ª
46,16,51,60,13,22,Sporting Gijón,1996,1ª
44,17,47,75,12,22,Rayo Vallecano,1996,1ª
42,18,55,81,10,20,Albacete,1996,1ª
42,19,37,62,10,20,Mérida,1996,1ª
33,20,53,82,8,25,Salamanca,1996,1ª
73,0,61,30,21,7,Hércules,1996,2ª
72,1,60,37,21,10,Mallorca,1996,2ª
69,2,69,49,20,9,Logroñés,1996,2ª
68,3,50,33,19,10,Extremadura,1996,2ª
64,4,50,41,18,10,Real Madrid B,1996,2ª
62,5,48,31,18,12,Badajoz,1996,2ª
61,6,52,42,17,11,Alavés,1996,2ª
61,7,42,40,17,11,Leganés,1996,2ª
59,8,38,30,16,11,Toledo,1996,2ª
52,9,49,43,15,16,Osasuna,1996,2ª
48,10,40,49,12,14,Lleida,1996,2ª
46,11,24,31,10,12,Éibar,1996,2ª
45,12,34,60,12,17,Écija,1996,2ª
44,13,55,63,13,20,Barcelona B,1996,2ª
44,14,42,47,10,14,Almería,1996,2ª
44,15,32,39,11,16,Villarreal,1996,2ª
42,16,36,45,10,16,Sestao,1996,2ª
40,17,49,63,10,18,Ath. Bilbao B,1996,2ª
32,18,30,52,7,20,Getafe,1996,2ª
21,19,28,63,4,25,Marbella,1996,2ª
90,0,102,48,28,8,Barcelona,1997,1ª
77,1,81,46,21,7,Betis,1997,1ª
77,2,57,30,21,7,Dptivo. Coruña,1997,1ª
71,3,76,64,20,11,At. Madrid,1997,1ª
64,4,72,57,16,10,Ath. Bilbao,1997,1ª
64,5,57,46,18,14,Valladolid,1997,1ª
63,6,50,47,18,15,Real Sociedad,1997,1ª
56,7,69,57,15,16,Tenerife,1997,1ª
56,8,63,59,15,16,Valencia,1997,1ª
53,9,52,65,13,15,Compostela,1997,1ª
51,10,51,57,14,19,Espanyol,1997,1ª
50,11,58,66,12,16,Zaragoza,1997,1ª
50,12,45,63,13,18,Sporting Gijón,1997,1ª
50,13,52,54,11,14,Rac. Santander,1997,1ª
49,14,51,54,12,17,Celta,1997,1ª
48,15,49,65,12,18,Oviedo,1997,1ª
45,16,43,62,13,23,Rayo Vallecano,1997,1ª
44,17,35,64,11,20,Extremadura,1997,1ª
43,18,50,69,12,23,Sevilla,1997,1ª
41,19,40,77,12,25,Hércules,1997,1ª
33,20,33,85,9,27,Logroñés,1997,1ª
73,0,61,40,21,9,Mallorca,1997,2ª
72,1,57,35,21,8,Mérida,1997,2ª
71,2,72,33,20,7,Salamanca,1997,2ª
66,3,51,32,19,10,Albacete,1997,2ª
66,4,44,26,17,6,Éibar,1997,2ª
60,5,38,26,15,8,Badajoz,1997,2ª
52,6,54,46,13,12,Las Palmas,1997,2ª
52,7,43,39,13,12,Leganés,1997,2ª
50,8,53,46,13,14,Levante,1997,2ª
48,9,38,52,13,16,Villarreal,1997,2ª
48,10,48,41,12,14,Lleida,1997,2ª
47,11,43,47,12,15,Alavés,1997,2ª
47,12,57,61,12,15,At. Madrid B,1997,2ª
45,13,37,53,12,17,Toledo,1997,2ª
44,14,34,42,11,16,Osasuna,1997,2ª
44,15,35,46,11,16,Ourense,1997,2ª
41,16,40,51,9,15,Almería,1997,2ª
41,17,40,69,11,19,Real Madrid B,1997,2ª
34,18,40,63,7,18,Barcelona B,1997,2ª
74,0,78,56,23,10,Barcelona,1998,1ª
65,1,52,42,17,7,Ath. Bilbao,1998,1ª
63,2,63,45,17,9,Real Madrid,1998,1ª
63,3,60,37,16,7,Real Sociedad,1998,1ª
60,4,79,56,16,10,At. Madrid,1998,1ª
60,5,55,39,16,10,Mallorca,1998,1ª
60,6,54,47,17,12,Celta,1998,1ª
59,7,49,50,17,13,Betis,1998,1ª
55,8,58,52,16,15,Valencia,1998,1ª
53,9,44,31,12,9,Espanyol,1998,1ª
50,10,36,47,13,14,Valladolid,1998,1ª
49,11,44,46,12,13,Dptivo. Coruña,1998,1ª
45,12,44,57,11,15,Tenerife,1998,1ª
45,13,46,55,12,17,Rac. Santander,1998,1ª
45,14,46,46,12,17,Salamanca,1998,1ª
44,15,56,66,11,16,Compostela,1998,1ª
40,16,36,51,9,16,Oviedo,1998,1ª
39,17,33,53,9,17,Mérida,1998,1ª
13,18,31,80,2,29,Sporting Gijón,1998,1ª
82,0,54,25,24,8,Alavés,1998,2ª
79,1,60,38,23,9,Extremadura,1998,2ª
76,2,75,51,20,8,Las Palmas,1998,2ª
75,3,52,39,19,7,Villarreal,1998,2ª
63,4,50,46,18,15,Lleida,1998,2ª
63,5,48,37,16,11,Badajoz,1998,2ª
62,6,47,44,17,14,Sevilla,1998,2ª
60,7,51,48,17,16,Rayo Vallecano,1998,2ª
60,8,64,49,16,14,At. Madrid B,1998,2ª
57,9,38,32,14,13,Éibar,1998,2ª
56,10,43,48,14,14,Toledo,1998,2ª
56,11,46,43,14,14,Hércules,1998,2ª
53,12,45,54,13,15,Leganés,1998,2ª
50,13,36,42,13,18,Osasuna,1998,2ª
50,14,41,53,13,18,Albacete,1998,2ª
49,15,37,46,12,17,Ourense,1998,2ª
47,16,33,50,10,15,Numancia,1998,2ª
46,17,38,43,10,16,Logroñés,1998,2ª
45,18,45,56,11,19,Elche,1998,2ª
45,19,39,52,9,15,Jaén,1998,2ª
38,20,24,49,8,20,Xerez,1998,2ª
35,21,37,59,8,23,Levante,1998,2ª
79,0,87,43,24,7,Barcelona,1999,1ª
68,1,77,62,21,12,Real Madrid,1999,1ª
66,2,48,31,20,12,Mallorca,1999,1ª
65,3,63,39,19,11,Valencia,1999,1ª
64,4,69,41,17,8,Celta,1999,1ª
63,5,55,43,17,9,Dptivo. Coruña,1999,1ª
61,6,49,38,16,9,Espanyol,1999,1ª
60,7,53,47,17,12,Ath. Bilbao,1999,1ª
57,8,57,46,16,13,Zaragoza,1999,1ª
54,9,47,43,14,12,Real Sociedad,1999,1ª
48,10,35,44,13,16,Valladolid,1999,1ª
46,11,54,50,12,16,At. Madrid,1999,1ª
45,12,41,57,11,15,Oviedo,1999,1ª
42,13,41,53,10,16,Rac. Santander,1999,1ª
40,14,36,63,11,20,Alavés,1999,1ª
39,15,27,53,9,17,Extremadura,1999,1ª
36,16,47,63,8,18,Villarreal,1999,1ª
34,17,41,63,7,18,Tenerife,1999,1ª
27,18,29,66,7,25,Salamanca,1999,1ª
79,0,72,47,22,7,Málaga,1999,2ª
77,1,69,50,22,11,Sevilla,1999,2ª
77,2,68,49,21,9,Rayo Vallecano,1999,2ª
74,3,73,51,21,10,At. Madrid B,1999,2ª
73,4,68,40,21,11,Numancia,1999,2ª
68,5,57,38,17,8,Las Palmas,1999,2ª
65,6,54,49,18,13,Toledo,1999,2ª
61,7,60,53,16,13,Compostela,1999,2ª
59,8,52,50,15,13,Lleida,1999,2ª
59,9,48,41,15,13,Mérida,1999,2ª
59,10,47,47,16,15,Sporting Gijón,1999,2ª
58,11,40,35,14,12,Rec. Huelva,1999,2ª
57,12,44,51,15,15,Osasuna,1999,2ª
51,13,35,39,12,15,Badajoz,1999,2ª
50,14,38,43,12,16,Albacete,1999,2ª
48,15,48,57,12,18,Logroñés,1999,2ª
47,16,36,44,10,15,Leganés,1999,2ª
47,17,42,56,13,21,Éibar,1999,2ª
46,18,52,64,12,20,Mallorca B,1999,2ª
44,19,51,68,13,24,Barcelona B,1999,2ª
40,20,38,66,10,22,Hércules,1999,2ª
27,21,35,82,7,29,Ourense,1999,2ª
69,0,66,44,21,11,Dptivo. Coruña,2000,1ª
64,1,59,39,18,10,Valencia,2000,1ª
64,2,70,46,19,12,Barcelona,2000,1ª
63,3,60,40,16,7,Zaragoza,2000,1ª
62,4,58,48,16,8,Real Madrid,2000,1ª
61,5,41,37,17,11,Alavés,2000,1ª
53,6,36,44,14,13,Valladolid,2000,1ª
53,7,45,43,15,15,Celta,2000,1ª
51,8,52,45,14,15,Mallorca,2000,1ª
50,9,47,57,12,12,Ath. Bilbao,2000,1ª
48,10,55,50,11,12,Málaga,2000,1ª
47,11,51,48,12,15,Espanyol,2000,1ª
47,12,42,49,11,13,Real Sociedad,2000,1ª
46,13,52,50,10,12,Rac. Santander,2000,1ª
45,14,47,59,11,15,Numancia,2000,1ª
45,15,44,60,11,15,Oviedo,2000,1ª
42,16,33,56,11,18,Betis,2000,1ª
38,17,48,64,9,18,At. Madrid,2000,1ª
28,18,42,67,5,20,Sevilla,2000,1ª
72,0,60,41,20,10,Las Palmas,2000,2ª
67,1,50,36,20,15,Osasuna,2000,2ª
66,2,61,46,18,12,Villarreal,2000,2ª
66,3,54,43,18,12,Salamanca,2000,2ª
63,4,41,34,16,11,Mérida,2000,2ª
63,5,66,52,18,15,Lleida,2000,2ª
61,6,55,52,16,13,Levante,2000,2ª
61,7,49,47,16,13,Extremadura,2000,2ª
60,8,54,48,17,16,Sporting Gijón,2000,2ª
59,9,51,53,15,13,Albacete,2000,2ª
57,10,46,49,15,15,Córdoba,2000,2ª
56,11,39,47,14,14,Leganés,2000,2ª
55,12,50,48,14,15,Tenerife,2000,2ª
53,13,48,58,12,13,Elche,2000,2ª
51,14,38,39,9,9,Badajoz,2000,2ª
50,15,43,57,13,18,At. Madrid B,2000,2ª
49,16,50,53,10,13,Compostela,2000,2ª
48,17,39,51,13,20,Getafe,2000,2ª
46,18,52,56,11,18,Logroñés,2000,2ª
45,19,40,54,12,21,Rec. Huelva,2000,2ª
80,0,81,40,24,6,Real Madrid,2001,1ª
73,1,73,44,22,9,Dptivo. Coruña,2001,1ª
71,2,61,43,20,7,Mallorca,2001,1ª
63,3,80,57,17,9,Barcelona,2001,1ª
63,4,55,34,18,11,Valencia,2001,1ª
59,5,51,49,16,11,Celta,2001,1ª
57,6,58,52,16,13,Villarreal,2001,1ª
56,7,60,61,16,14,Málaga,2001,1ª
50,8,46,44,14,16,Espanyol,2001,1ª
49,9,58,59,14,17,Alavés,2001,1ª
46,10,42,62,13,18,Las Palmas,2001,1ª
43,11,56,68,10,15,Rayo Vallecano,2001,1ª
43,12,44,60,11,17,Ath. Bilbao,2001,1ª
43,13,52,68,11,17,Real Sociedad,2001,1ª
42,14,42,50,9,14,Valladolid,2001,1ª
42,15,43,54,10,16,Osasuna,2001,1ª
42,16,54,57,9,14,Zaragoza,2001,1ª
41,17,51,67,11,19,Oviedo,2001,1ª
39,18,40,64,10,19,Numancia,2001,1ª
80,0,66,39,23,8,Sevilla,2001,2ª
75,1,49,32,21,9,Betis,2001,2ª
74,2,59,39,21,10,At. Madrid,2001,2ª
74,3,58,32,21,10,Tenerife,2001,2ª
66,4,46,40,18,12,Albacete,2001,2ª
65,5,45,29,15,7,Rec. Huelva,2001,2ª
63,6,55,49,17,13,Sporting Gijón,2001,2ª
60,7,58,50,13,8,Levante,2001,2ª
59,8,37,40,15,13,Jaén,2001,2ª
59,9,51,48,17,17,Salamanca,2001,2ª
58,10,42,46,16,16,Extremadura,2001,2ª
56,11,40,43,14,14,Córdoba,2001,2ª
52,12,53,54,13,16,Murcia,2001,2ª
50,13,46,50,12,16,Ferrol,2001,2ª
50,14,30,32,11,14,Éibar,2001,2ª
47,15,45,41,9,13,Leganés,2001,2ª
46,16,45,56,10,16,Elche,2001,2ª
45,17,41,65,11,19,Compostela,2001,2ª
39,18,34,63,8,19,Univ.Las Palmas,2001,2ª
35,19,42,65,8,23,Getafe,2001,2ª
75,0,51,27,21,5,Valencia,2002,1ª
68,1,65,41,20,10,Dptivo. Coruña,2002,1ª
66,2,69,44,19,10,Real Madrid,2002,1ª
64,3,65,37,18,10,Barcelona,2002,1ª
60,4,64,46,16,10,Celta,2002,1ª
54,5,41,44,17,18,Alavés,2002,1ª
53,6,54,66,14,13,Ath. Bilbao,2002,1ª
53,7,51,40,14,13,Sevilla,2002,1ª
53,8,44,44,13,11,Málaga,2002,1ª
49,9,46,52,13,15,Rayo Vallecano,2002,1ª
48,10,45,58,13,16,Valladolid,2002,1ª
47,11,48,54,13,17,Real Sociedad,2002,1ª
47,12,47,56,13,17,Espanyol,2002,1ª
43,13,46,55,11,17,Villarreal,2002,1ª
43,14,40,52,11,17,Mallorca,2002,1ª
42,15,36,49,10,16,Osasuna,2002,1ª
40,16,40,50,9,16,Las Palmas,2002,1ª
38,17,32,58,10,20,Tenerife,2002,1ª
37,18,35,54,9,19,Zaragoza,2002,1ª
79,0,68,44,23,9,At. Madrid,2002,2ª
