"PUNTOS","PUESTO","GOLESAF","GOLESEC","PARTIDOSGANADOS","PARTIDOSEMPATADOS","PARTIDOSPERDIDOS","ASCIENDE","DESCIENDE","EUROPA","EQUIPO","DIVISION","TEMPORADA","NUMJORNADA"
47,11,42,47,11,14,14,,,,"Almería","1ª",2010,38
45,12,41,38,12,9,13,,,,"Ath. Bilbao","1ª",2010,38
43,13,22,44,10,13,14,,,,"Dptivo. Coruña","1ª",2010,38
42,14,36,38,11,9,16,,,,"Tenerife","1ª",2010,38
39,15,42,32,9,12,11,,,,"Valladolid","1ª",2010,38
38,16,36,36,8,14,10,,,,"Zaragoza","1ª",2010,38
35,17,32,49,9,8,17,,,,"Osasuna","1ª",2010,38
35,18,41,37,9,8,12,,,,"Rac. Santander","1ª",2010,38
31,19,32,37,8,7,16,,1,,"Sporting Gijón","1ª",2010,38
28,20,36,56,7,7,22,,1,,"Xerez","1ª",2010,38
68,1,29,36,18,14,13,1,,,"Betis","2ª",2010,42
65,2,58,49,18,11,13,1,,,"Cartagena","2ª",2010,42
64,3,42,39,19,7,15,1,,,"Hércules","2ª",2010,42
61,4,60,56,16,13,13,,,,"Villarreal B","2ª",2010,42
59,5,37,39,17,8,13,,,,"Real Sociedad","2ª",2010,42
56,6,33,50,13,17,15,,,,"Numancia","2ª",2010,42
55,7,48,28,15,10,8,,,,"Elche","2ª",2010,42
51,8,30,37,14,9,15,,,,"Celta","2ª",2010,42
50,9,51,45,13,11,13,,,,"Cádiz","2ª",2010,42
49,10,37,48,14,7,21,,,,"Levante","2ª",2010,42
47,11,39,43,12,11,15,,,,"Rec. Huelva","2ª",2010,42
46,12,40,59,12,10,20,,,,"Real Unión","2ª",2010,42
46,13,43,54,10,16,15,,,,"Girona","2ª",2010,42
45,14,45,46,12,9,16,,,,"Córdoba","2ª",2010,42
45,15,61,26,11,12,8,,,,"Murcia","2ª",2010,42
44,16,47,46,10,14,15,,,,"Huesca","2ª",2010,42
43,17,58,50,12,7,16,,,,"Rayo Vallecano","2ª",2010,42
41,18,53,39,11,8,10,,,,"Salamanca","2ª",2010,42
36,19,38,44,9,9,14,,,,"Las Palmas","2ª",2010,42
34,20,35,62,9,7,19,,,,"Albacete","2ª",2010,42
33,21,44,38,8,9,12,,,,"Castellón","2ª",2010,42
30,22,35,48,7,9,17,,,,"Gimn. Tarragona","2ª",2010,42
76,1,41,21,22,10,6,,,1,"Barcelona","1ª",2011,38
75,2,45,29,22,9,8,,,1,"Real Madrid","1ª",2011,38
65,3,49,29,19,8,6,,,1,"At. Madrid","1ª",2011,38
61,4,72,47,16,13,7,,,1,"Málaga","1ª",2011,38
59,5,38,51,17,8,17,,,1,"Villarreal","1ª",2011,38
56,6,48,27,15,11,7,,,,"Espanyol","1ª",2011,38
51,7,37,33,14,9,14,,,,"Mallorca","1ª",2011,38
51,8,45,29,13,12,10,,,,"Sevilla","1ª",2011,38
49,9,37,33,13,10,12,,,,"Valencia","1ª",2011,38
48,10,41,38,13,9,13,,,,"Ath. Bilbao","1ª",2011,38
47,11,37,39,13,8,13,,,,"Real Sociedad","1ª",2011,38
47,12,41,37,13,8,12,,,,"Rac. Santander","1ª",2011,38
44,13,37,48,11,11,15,,,,"Getafe","1ª",2011,38
44,14,32,49,12,8,17,,,,"Osasuna","1ª",2011,38
44,15,36,36,10,14,10,,,,"Zaragoza","1ª",2011,38
40,16,22,44,9,13,14,,,,"Dptivo. Coruña","1ª",2011,38
37,17,32,37,10,7,16,,,,"Sporting Gijón","1ª",2011,38
37,18,42,39,10,7,15,,,,"Hércules","1ª",2011,38
37,19,37,48,10,7,21,,1,,"Levante","1ª",2011,38
32,20,42,47,6,14,14,,1,,"Almería","1ª",2011,38
83,1,29,36,23,14,13,1,,,"Betis","2ª",2011,42
72,2,42,32,20,12,11,1,,,"Valladolid","2ª",2011,42
68,3,58,49,19,11,13,1,,,"Cartagena","2ª",2011,42
68,4,33,50,17,17,15,,,,"Numancia","2ª",2011,42
61,5,48,28,17,10,8,,,,"Elche","2ª",2011,42
59,6,25,32,16,11,14,,,,"Granada","2ª",2011,42
58,7,57,52,17,7,18,,,,"Alcorcón","2ª",2011,42
57,8,46,52,15,12,13,,,,"Barcelona B","2ª",2011,42
55,9,58,50,16,7,16,,,,"Rayo Vallecano","2ª",2011,42
55,10,43,54,13,16,15,,,,"Girona","2ª",2011,42
55,11,60,56,14,13,13,,,,"Villarreal B","2ª",2011,42
54,12,30,37,15,9,15,,,,"Celta","2ª",2011,42
45,13,38,44,12,9,14,,,,"Las Palmas","2ª",2011,42
44,14,47,46,10,14,15,,,,"Huesca","2ª",2011,42
41,15,53,39,11,8,10,,,,"Salamanca","2ª",2011,42
41,16,39,43,10,11,15,,,,"Rec. Huelva","2ª",2011,42
40,17,36,56,11,7,22,,,,"Xerez","2ª",2011,42
36,18,35,48,9,9,17,,,,"Gimn. Tarragona","2ª",2011,42
36,19,45,46,9,9,16,,,,"Córdoba","2ª",2011,42
36,20,36,38,9,9,16,,,,"Tenerife","2ª",2011,42
31,21,45,61,6,13,18,,,,"Ponferradina","2ª",2011,42
28,22,35,62,7,7,19,,,,"Albacete","2ª",2011,42
30,23,30,37,7,9,15,1,,,"Celta","Promoción 1ª/2ª",2011,0
30,24,42,32,6,12,11,1,,,"Valladolid","Promoción 1ª/2ª",2011,0
28,25,48,28,6,10,8,1,,,"Elche","Promoción 1ª/2ª",2011,0
17,26,25,32,2,11,14,1,,,"Granada","Promoción 1ª/2ª",2011,0
79,1,41,21,23,10,6,,,1,"Barcelona","1ª",2012,38
79,2,72,47,22,13,7,,,1,"Málaga","1ª",2012,38
75,3,45,29,22,9,8,,,1,"Real Madrid","1ª",2012,38
68,4,49,29,20,8,6,,,1,"At. Madrid","1ª",2012,38
53,5,29,36,13,14,13,,,1,"Betis","1ª",2012,38
52,6,37,33,14,10,12,,,,"Valencia","1ª",2012,38
51,7,37,33,14,9,14,,,,"Mallorca","1ª",2012,38
50,8,48,27,13,11,7,,,,"Espanyol","1ª",2012,38
48,9,45,29,12,12,10,,,,"Sevilla","1ª",2012,38
44,10,32,49,12,8,17,,,,"Osasuna","1ª",2012,38
43,11,37,48,12,7,21,,,,"Levante","1ª",2012,38
41,12,36,36,9,14,10,,,,"Zaragoza","1ª",2012,38
41,13,37,39,11,8,13,,,,"Real Sociedad","1ª",2012,38
41,14,37,48,10,11,15,,,,"Getafe","1ª",2012,38
40,15,58,50,11,7,16,,,,"Rayo Vallecano","1ª",2012,38
38,16,38,51,10,8,17,,,,"Villarreal","1ª",2012,38
38,17,25,32,9,11,14,,,,"Granada","1ª",2012,38
36,18,41,38,9,9,13,,,,"Ath. Bilbao","1ª",2012,38
32,19,41,37,8,8,12,,1,,"Rac. Santander","1ª",2012,38
31,20,32,37,8,7,16,,1,,"Sporting Gijón","1ª",2012,38
72,1,30,37,21,9,15,1,,,"Celta","2ª",2012,42
70,2,22,44,19,13,14,1,,,"Dptivo. Coruña","2ª",2012,42
69,3,42,32,19,12,11,1,,,"Valladolid","2ª",2012,42
65,4,33,50,16,17,15,,,,"Numancia","2ª",2012,42
56,5,42,47,14,14,14,,,,"Almería","2ª",2012,42
55,6,57,52,16,7,18,,,,"Alcorcón","2ª",2012,42
55,7,60,56,14,13,13,,,,"Villarreal B","2ª",2012,42
54,8,45,46,15,9,16,,,,"Córdoba","2ª",2012,42
53,9,58,49,14,11,13,,,,"Cartagena","2ª",2012,42
52,10,48,28,14,10,8,,,,"Elche","2ª",2012,42
51,11,61,26,13,12,8,,,,"Murcia","2ª",2012,42
51,12,46,52,13,12,13,,,,"Barcelona B","2ª",2012,42
49,13,42,39,14,7,15,,,,"Hércules","2ª",2012,42
49,14,50,75,14,7,21,,,,"Guadalajara","2ª",2012,42
49,15,43,54,11,16,15,,,,"Girona","2ª",2012,42
48,16,38,44,13,9,14,,,,"Las Palmas","2ª",2012,42
47,17,47,46,11,14,15,,,,"Huesca","2ª",2012,42
42,18,45,50,10,12,14,,,,"Sabadell","2ª",2012,42
38,19,39,43,9,11,15,,,,"Rec. Huelva","2ª",2012,42
37,20,46,78,9,10,23,,,,"Alcoyano","2ª",2012,42
34,21,36,56,9,7,22,,,,"Xerez","2ª",2012,42
21,22,35,48,4,9,17,,,,"Gimn. Tarragona","2ª",2012,42
30,23,42,32,6,12,11,1,,,"Valladolid","Promoción 1ª/2ª",2012,0
82,1,41,21,24,10,6,,,1,"Barcelona","1ª",2013,38
78,2,45,29,23,9,8,,,1,"Real Madrid","1ª",2013,38
77,3,49,29,23,8,6,,,1,"At. Madrid","1ª",2013,38
70,4,72,47,19,13,7,,,1,"Málaga","1ª",2013,38
60,5,45,29,16,12,10,,,1,"Sevilla","1ª",2013,38
59,6,29,36,15,14,13,,,,"Betis","1ª",2013,38
58,7,37,33,16,10,12,,,,"Valencia","1ª",2013,38
48,8,42,32,12,12,11,,,,"Valladolid","1ª",2013,38
48,9,30,37,13,9,15,,,,"Celta","1ª",2013,38
45,10,37,33,12,9,14,,,,"Mallorca","1ª",2013,38
44,11,37,39,12,8,13,,,,"Real Sociedad","1ª",2013,38
44,12,37,48,11,11,15,,,,"Getafe","1ª",2013,38
43,13,58,50,12,7,16,,,,"Rayo Vallecano","1ª",2013,38
41,14,48,27,10,11,7,,,,"Espanyol","1ª",2013,38
36,15,41,38,9,9,13,,,,"Ath. Bilbao","1ª",2013,38
35,16,32,49,9,8,17,,,,"Osasuna","1ª",2013,38
34,17,22,44,7,13,14,,,,"Dptivo. Coruña","1ª",2013,38
34,18,37,48,9,7,21,,,,"Levante","1ª",2013,38
32,19,36,36,6,14,10,,1,,"Zaragoza","1ª",2013,38
32,20,25,32,7,11,14,,1,,"Granada","1ª",2013,38
70,1,48,28,20,10,8,1,,,"Elche","2ª",2013,42
67,2,43,54,17,16,15,1,,,"Girona","2ª",2013,42
62,3,38,51,18,8,17,1,,,"Villarreal","2ª",2013,42
62,4,33,50,15,17,15,,,,"Numancia","2ª",2013,42
59,5,42,47,15,14,14,,,,"Almería","2ª",2013,42
58,6,57,52,17,7,18,,,,"Alcorcón","2ª",2013,42
57,7,55,45,17,6,14,,,,"Real Madrid B","2ª",2013,42
54,8,61,26,14,12,8,,,,"Murcia","2ª",2013,42
53,9,39,43,14,11,15,,,,"Rec. Huelva","2ª",2013,42
52,10,45,61,13,13,18,,,,"Ponferradina","2ª",2013,42
52,11,35,51,13,13,16,,,,"Mirandés","2ª",2013,42
49,12,50,75,14,7,21,,,,"Guadalajara","2ª",2013,42
48,13,38,44,13,9,14,,,,"Las Palmas","2ª",2013,42
47,14,23,41,12,11,20,,,,"Lugo","2ª",2013,42
47,15,41,37,13,8,12,,,,"Rac. Santander","2ª",2013,42
45,16,45,46,12,9,16,,,,"Córdoba","2ª",2013,42
45,17,45,50,11,12,14,,,,"Sabadell","2ª",2013,42
45,18,46,52,11,12,13,,,,"Barcelona B","2ª",2013,42
44,19,47,46,10,14,15,,,,"Huesca","2ª",2013,42
40,20,42,39,11,7,15,,,,"Hércules","2ª",2013,42
40,21,32,37,11,7,16,,,,"Sporting Gijón","2ª",2013,42
22,22,36,56,5,7,22,,,,"Xerez","2ª",2013,42
29,23,42,47,5,14,14,1,,,"Almería","Promoción 1ª/2ª",2013,0
25,24,43,54,3,16,15,1,,,"Girona","Promoción 1ª/2ª",2013,0
80,1,49,29,24,8,6,,,1,"At. Madrid","1ª",2014,38
76,2,41,21,22,10,6,,,1,"Barcelona","1ª",2014,38
75,3,45,29,22,9,8,,,1,"Real Madrid","1ª",2014,38
64,4,72,47,17,13,7,,,1,"Málaga","1ª",2014,38
54,5,45,29,14,12,10,,,1,"Sevilla","1ª",2014,38
51,6,41,38,14,9,13,,,,"Ath. Bilbao","1ª",2014,38
49,7,37,33,13,10,12,,,,"Valencia","1ª",2014,38
47,8,37,39,13,8,13,,,,"Real Sociedad","1ª",2014,38
47,9,29,36,11,14,13,,,,"Betis","1ª",2014,38
47,10,38,51,13,8,17,,,,"Villarreal","1ª",2014,38
45,11,42,32,11,12,11,,,,"Valladolid","1ª",2014,38
45,12,30,37,12,9,15,,,,"Celta","1ª",2014,38
44,13,48,27,11,11,7,,,,"Espanyol","1ª",2014,38
43,14,48,28,11,10,8,,,,"Elche","1ª",2014,38
41,15,42,47,9,14,14,,,,"Almería","1ª",2014,38
40,16,58,50,11,7,16,,,,"Rayo Vallecano","1ª",2014,38
35,17,37,48,8,11,15,,,,"Getafe","1ª",2014,38
35,18,25,32,8,11,14,,,,"Granada","1ª",2014,38
32,19,32,49,8,8,17,,1,,"Osasuna","1ª",2014,38
31,20,37,48,8,7,21,,1,,"Levante","1ª",2014,38
60,1,61,26,16,12,8,1,,,"Murcia","2ª",2014,42
57,2,46,52,15,12,13,1,,,"Barcelona B","2ª",2014,42
57,3,45,50,15,12,14,1,,,"Sabadell","2ª",2014,42
57,4,36,42,13,18,12,,,,"Éibar","2ª",2014,42
52,5,35,51,13,13,16,,,,"Mirandés","2ª",2014,42
50,6,33,50,11,17,15,,,,"Numancia","2ª",2014,42
49,7,45,61,12,13,18,,,,"Ponferradina","2ª",2014,42
48,8,37,33,13,9,14,,,,"Mallorca","2ª",2014,42
48,9,36,38,13,9,16,,,,"Tenerife","2ª",2014,42
47,10,23,41,12,11,20,,,,"Lugo","2ª",2014,42
46,11,32,37,13,7,16,,,,"Sporting Gijón","2ª",2014,42
46,12,42,32,11,13,10,,,,"Jaén","2ª",2014,42
45,13,38,44,12,9,14,,,,"Las Palmas","2ª",2014,42
44,14,39,43,11,11,15,,,,"Rec. Huelva","2ª",2014,42
43,15,43,54,9,16,15,,,,"Girona","2ª",2014,42
43,16,57,52,12,7,18,,,,"Alcorcón","2ª",2014,42
42,17,55,45,12,6,14,,,,"Real Madrid B","2ª",2014,42
40,18,22,44,9,13,14,,,,"Dptivo. Coruña","2ª",2014,42
39,19,45,46,10,9,16,,,,"Córdoba","2ª",2014,42
38,20,36,36,8,14,10,,,,"Zaragoza","2ª",2014,42
34,21,42,39,9,7,15,,,,"Hércules","2ª",2014,42
28,22,35,45,7,7,18,,,,"Alavés","2ª",2014,42
18,23,38,44,3,9,14,1,,,"Las Palmas","Promoción 1ª/2ª",2014,0
77,1,49,29,23,8,6,,,1,"At. Madrid","1ª",2015,38
76,2,41,21,22,10,6,,,1,"Barcelona","1ª",2015,38
75,3,45,29,22,9,8,,,1,"Real Madrid","1ª",2015,38
64,4,72,47,17,13,7,,,1,"Málaga","1ª",2015,38
64,5,37,33,18,10,12,,,1,"Valencia","1ª",2015,38
60,6,45,29,16,12,10,,,,"Sevilla","1ª",2015,38
56,7,38,51,16,8,17,,,,"Villarreal","1ª",2015,38
51,8,30,37,14,9,15,,,,"Celta","1ª",2015,38
47,9,48,27,12,11,7,,,,"Espanyol","1ª",2015,38
43,10,48,28,11,10,8,,,,"Elche","1ª",2015,38
41,11,37,39,11,8,13,,,,"Real Sociedad","1ª",2015,38
40,12,58,50,11,7,16,,,,"Rayo Vallecano","1ª",2015,38
39,13,36,42,7,18,12,,,,"Éibar","1ª",2015,38
36,14,41,38,9,9,13,,,,"Ath. Bilbao","1ª",2015,38
35,15,37,48,8,11,15,,,,"Getafe","1ª",2015,38
32,16,42,47,6,14,14,,,,"Almería","1ª",2015,38
31,17,22,44,6,13,14,,,,"Dptivo. Coruña","1ª",2015,38
28,18,37,48,7,7,21,,,,"Levante","1ª",2015,38
26,19,25,32,5,11,14,,1,,"Granada","1ª",2015,38
15,20,45,46,2,9,16,,1,,"Córdoba","1ª",2015,38
74,1,29,36,20,14,13,1,,,"Betis","2ª",2015,42
63,2,42,32,17,12,11,1,,,"Valladolid","2ª",2015,42
60,3,38,44,17,9,14,1,,,"Las Palmas","2ª",2015,42
57,4,41,41,15,12,15,,,,"Llagostera","2ª",2015,42
57,5,53,59,15,12,15,,,,"Leganés","2ª",2015,42
55,6,43,54,13,16,15,,,,"Girona","2ª",2015,42
55,7,35,51,14,13,16,,,,"Mirandés","2ª",2015,42
52,8,45,61,13,13,18,,,,"Ponferradina","2ª",2015,42
52,9,32,37,15,7,16,,,,"Sporting Gijón","2ª",2015,42
51,10,37,33,14,9,14,,,,"Mallorca","2ª",2015,42
50,11,33,50,11,17,15,,,,"Numancia","2ª",2015,42
47,12,36,36,11,14,10,,,,"Zaragoza","2ª",2015,42
45,13,36,38,12,9,16,,,,"Tenerife","2ª",2015,42
44,14,23,41,11,11,20,,,,"Lugo","2ª",2015,42
41,15,32,49,11,8,17,,,,"Osasuna","2ª",2015,42
41,16,39,43,10,11,15,,,,"Rec. Huelva","2ª",2015,42
41,17,41,37,11,8,12,,,,"Rac. Santander","2ª",2015,42
40,18,35,45,11,7,18,,,,"Alavés","2ª",2015,42
40,19,35,62,11,7,19,,,,"Albacete","2ª",2015,42
37,20,57,52,10,7,18,,,,"Alcorcón","2ª",2015,42
36,21,46,52,8,12,13,,,,"Barcelona B","2ª",2015,42
36,22,45,50,8,12,14,,,,"Sabadell","2ª",2015,42
20,23,36,36,2,14,10,1,,,"Zaragoza","Promoción 1ª/2ª",2015,0
18,24,38,44,3,9,14,1,,,"Las Palmas","Promoción 1ª/2ª",2015,0
61,1,41,21,17,10,6,,,1,"Barcelona","1ª",2016,23
59,2,49,29,17,8,6,,,1,"At. Madrid","1ª",2016,23
57,3,45,29,16,9,8,,,1,"Real Madrid","1ª",2016,23
55,4,72,47,14,13,7,,,1,"Málaga","1ª",2016,23
51,5,45,29,13,12,10,,,1,"Sevilla","1ª",2016,23
47,6,38,51,13,8,17,,,,"Villarreal","1ª",2016,23
42,7,30,37,11,9,15,,,,"Celta","1ª",2016,23
42,8,36,42,8,18,12,,,,"Éibar","1ª",2016,23
38,9,29,36,8,14,13,,,,"Betis","1ª",2016,23
35,10,48,27,8,11,7,,,,"Espanyol","1ª",2016,23
35,11,37,48,8,11,15,,,,"Getafe","1ª",2016,23
31,12,58,50,8,7,16,,,,"Rayo Vallecano","1ª",2016,23
30,13,41,38,7,9,13,,,,"Ath. Bilbao","1ª",2016,23
30,14,38,44,7,9,14,,,,"Las Palmas","1ª",2016,23
28,15,37,33,6,10,12,,,,"Valencia","1ª",2016,23
26,16,37,39,6,8,13,,,,"Real Sociedad","1ª",2016,23
25,17,22,44,4,13,14,,,,"Dptivo. Coruña","1ª",2016,23
23,18,25,32,4,11,14,,,,"Granada","1ª",2016,23
19,19,37,48,4,7,21,,1,,"Levante","1ª",2016,23
19,20,32,37,4,7,16,,1,,"Sporting Gijón","1ª",2016,23
48,1,53,59,12,12,15,1,,,"Leganés","2ª",2016,24
48,2,41,41,12,12,15,1,,,"Llagostera","2ª",2016,24
43,3,48,28,11,10,8,1,,,"Elche","2ª",2016,24
43,4,61,39,11,10,13,,,,"Ath. Bilbao B","2ª",2016,24
42,5,42,32,10,12,11,,,,"Valladolid","2ª",2016,24
39,6,37,33,10,9,14,,,,"Mallorca","2ª",2016,24
38,7,36,36,8,14,10,,,,"Zaragoza","2ª",2016,24
38,8,33,50,7,17,15,,,,"Numancia","2ª",2016,24
37,9,45,61,8,13,18,,,,"Ponferradina","2ª",2016,24
37,10,35,51,8,13,16,,,,"Mirandés","2ª",2016,24
36,11,45,46,9,9,16,,,,"Córdoba","2ª",2016,24
36,12,33,44,8,12,13,,,,"Oviedo","2ª",2016,24
35,13,42,47,7,14,14,,,,"Almería","2ª",2016,24
34,14,35,45,9,7,18,,,,"Alavés","2ª",2016,24
34,15,57,52,9,7,18,,,,"Alcorcón","2ª",2016,24
34,16,43,54,6,16,15,,,,"Girona","2ª",2016,24
33,17,35,48,8,9,17,,,,"Gimn. Tarragona","2ª",2016,24
32,18,32,49,8,8,17,,,,"Osasuna","2ª",2016,24
32,19,23,41,7,11,20,,,,"Lugo","2ª",2016,24
30,20,36,38,7,9,16,,,,"Tenerife","2ª",2016,24
29,21,47,46,5,14,15,,,,"Huesca","2ª",2016,24
28,22,35,62,7,7,19,,,,"Albacete","2ª",2016,24
51,12,36,42,11,18,12,,,,"Éibar","2ª",1994,38
50,13,38,51,14,8,17,,,,"Villarreal","2ª",1994,38
50,14,29,39,12,14,11,,,,"Palamós","2ª",1994,38
49,15,42,39,14,7,15,,,,"Hércules","2ª",1994,38
45,16,53,59,11,12,15,,,,"Leganés","2ª",1994,38
44,17,45,41,12,8,13,,,,"Marbella","2ª",1994,38
42,18,46,52,10,12,13,,,,"Barcelona B","2ª",1994,38
32,19,51,45,7,11,13,,,,"Cádiz","2ª",1994,38
27,20,44,38,6,9,12,,,,"Castellón","2ª",1994,38
35,21,50,32,8,11,9,1,,,"Toledo","Promoción 1ª/2ª",1994,0
30,22,42,32,6,12,11,1,,,"Valladolid","Promoción 1ª/2ª",1994,0
29,23,36,32,6,11,12,1,,,"Compostela","Promoción 1ª/2ª",1994,0
72,1,45,29,21,9,8,,,1,"Real Madrid","1ª",1995,38
65,2,49,29,19,8,6,,,1,"At. Madrid","1ª",1995,38
64,3,41,21,18,10,6,,,1,"Barcelona","1ª",1995,38
59,4,29,36,15,14,13,,,1,"Betis","1ª",1995,38
56,5,48,27,15,11,7,,,1,"Espanyol","1ª",1995,38
56,6,36,36,14,14,10,,,,"Zaragoza","1ª",1995,38
54,7,33,44,14,12,13,,,,"Oviedo","1ª",1995,38
52,8,22,44,13,13,14,,,,"Dptivo. Coruña","1ª",1995,38
50,9,36,32,13,11,12,,,,"Compostela","1ª",1995,38
49,10,37,33,13,10,12,,,,"Valencia","1ª",1995,38
48,11,36,38,13,9,16,,,,"Tenerife","1ª",1995,38
47,12,41,37,13,8,12,,,,"Rac. Santander","1ª",1995,38
45,13,45,29,11,12,10,,,,"Sevilla","1ª",1995,38
45,14,42,32,11,12,11,,,,"Valladolid","1ª",1995,38
45,15,30,37,12,9,15,,,,"Celta","1ª",1995,38
42,16,41,38,11,9,13,,,,"Ath. Bilbao","1ª",1995,38
38,17,37,39,10,8,13,,,,"Real Sociedad","1ª",1995,38
31,18,35,62,8,7,19,,,,"Albacete","1ª",1995,38
28,19,32,37,7,7,16,,1,,"Sporting Gijón","1ª",1995,38
20,20,40,48,2,14,16,,1,,"Logroñés","1ª",1995,38
66,1,58,48,19,9,13,1,,,"Mérida","2ª",1995,38
62,2,50,32,17,11,9,1,,,"Toledo","2ª",1995,38
60,3,37,33,17,9,14,1,,,"Mallorca","2ª",1995,38
60,4,53,37,16,12,11,,,,"Lleida","2ª",1995,38
58,5,61,39,16,10,13,,,,"Ath. Bilbao B","2ª",1995,38
55,6,58,50,16,7,16,,,,"Rayo Vallecano","2ª",1995,38
51,7,53,59,13,12,15,,,,"Leganés","2ª",1995,38
50,8,53,39,14,8,10,,,,"Salamanca","2ª",1995,38
50,9,45,41,14,8,13,,,,"Marbella","2ª",1995,38
49,10,42,39,14,7,15,,,,"Hércules","2ª",1995,38
48,11,46,52,12,12,13,,,,"Barcelona B","2ª",1995,38
47,12,37,36,13,8,16,,,,"Badajoz","2ª",1995,38
42,13,36,42,8,18,12,,,,"Éibar","2ª",1995,38
42,14,35,48,8,18,12,,,,"Extremadura","2ª",1995,38
41,15,32,49,11,8,17,,,,"Osasuna","2ª",1995,38
41,16,29,39,9,14,11,,,,"Palamós","2ª",1995,38
41,17,38,51,11,8,17,,,,"Villarreal","2ª",1995,38
39,18,55,45,11,6,14,,,,"Real Madrid B","2ª",1995,38
27,19,43,45,5,12,13,,,,"Ourense","2ª",1995,38
23,20,37,48,4,11,15,,,,"Getafe","2ª",1995,38
13,21,32,37,2,7,16,1,,,"Sporting Gijón","Promoción 1ª/2ª",1995,0
74,1,49,29,22,8,6,,,1,"At. Madrid","1ª",1996,42
73,2,41,21,21,10,6,,,1,"Barcelona","1ª",1996,42
67,3,37,33,19,10,12,,,1,"Valencia","1ª",1996,42
63,4,45,29,18,9,8,,,1,"Real Madrid","1ª",1996,42
62,5,36,32,17,11,12,,,1,"Compostela","1ª",1996,42
59,6,29,36,15,14,13,,,,"Betis","1ª",1996,42
56,7,48,27,15,11,7,,,,"Espanyol","1ª",1996,42
54,8,58,48,15,9,13,,,,"Mérida","1ª",1996,42
54,9,30,37,15,9,15,,,,"Celta","1ª",1996,42
51,10,36,38,14,9,16,,,,"Tenerife","1ª",1996,42
50,11,37,39,14,8,13,,,,"Real Sociedad","1ª",1996,42
49,12,22,44,12,13,14,,,,"Dptivo. Coruña","1ª",1996,42
48,13,42,32,12,12,11,,,,"Valladolid","1ª",1996,42
42,14,45,29,10,12,10,,,,"Sevilla","1ª",1996,42
41,15,41,37,11,8,12,,,,"Rac. Santander","1ª",1996,42
41,16,53,39,11,8,10,,,,"Salamanca","1ª",1996,42
40,17,32,37,11,7,16,,,,"Sporting Gijón","1ª",1996,42
39,18,41,38,10,9,13,,,,"Ath. Bilbao","1ª",1996,42
38,19,36,36,8,14,10,,,,"Zaragoza","1ª",1996,42
37,20,58,50,10,7,16,,,,"Rayo Vallecano","1ª",1996,42
34,21,35,62,9,7,19,,1,,"Albacete","1ª",1996,42
33,22,33,44,7,12,13,,1,,"Oviedo","1ª",1996,42
60,1,53,37,16,12,11,1,,,"Lleida","2ª",1996,38
59,2,37,36,17,8,16,1,,,"Badajoz","2ª",1996,38
57,3,35,48,13,18,12,1,,,"Extremadura","2ª",1996,38
56,4,50,32,15,11,9,,,,"Toledo","2ª",1996,38
55,5,42,39,16,7,15,,,,"Hércules","2ª",1996,38
53,6,40,48,13,14,16,,,,"Logroñés","2ª",1996,38
52,7,61,39,14,10,13,,,,"Ath. Bilbao B","2ª",1996,38
51,8,36,42,11,18,12,,,,"Éibar","2ª",1996,38
51,9,37,33,14,9,14,,,,"Mallorca","2ª",1996,38
51,10,53,59,13,12,15,,,,"Leganés","2ª",1996,38
48,11,55,45,14,6,14,,,,"Real Madrid B","2ª",1996,38
46,12,35,45,13,7,18,,,,"Alavés","2ª",1996,38
45,13,34,60,12,9,17,,,,"Écija","2ª",1996,38
45,14,46,52,11,12,13,,,,"Barcelona B","2ª",1996,38
44,15,42,47,10,14,14,,,,"Almería","2ª",1996,38
41,16,38,51,11,8,17,,,,"Villarreal","2ª",1996,38
41,17,32,49,11,8,17,,,,"Osasuna","2ª",1996,38
31,18,49,45,8,7,15,,,,"Sestao","2ª",1996,38
26,19,45,41,6,8,13,,,,"Marbella","2ª",1996,38
26,20,37,48,5,11,15,,,,"Getafe","2ª",1996,38
30,21,35,48,4,18,12,1,,,"Extremadura","Promoción 1ª/2ª",1996,0
27,22,37,33,6,9,14,1,,,"Mallorca","Promoción 1ª/2ª",1996,0
19,23,58,50,4,7,16,1,,,"Rayo Vallecano","Promoción 1ª/2ª",1996,0
79,1,41,21,23,10,6,,,1,"Barcelona","1ª",1997,42
78,2,45,29,23,9,8,,,1,"Real Madrid","1ª",1997,42
71,3,49,29,21,8,6,,,1,"At. Madrid","1ª",1997,42
62,4,29,36,16,14,13,,,1,"Betis","1ª",1997,42
60,5,42,32,16,12,11,,,1,"Valladolid","1ª",1997,42
56,6,48,27,15,11,7,,,,"Espanyol","1ª",1997,42
54,7,35,48,12,18,12,,,,"Extremadura","1ª",1997,42
52,8,22,44,13,13,14,,,,"Dptivo. Coruña","1ª",1997,42
51,9,30,37,14,9,15,,,,"Celta","1ª",1997,42
50,10,37,39,14,8,13,,,,"Real Sociedad","1ª",1997,42
50,11,36,32,13,11,12,,,,"Compostela","1ª",1997,42
49,12,37,33,13,10,12,,,,"Valencia","1ª",1997,42
46,13,42,39,13,7,15,,,,"Hércules","1ª",1997,42
45,14,36,38,12,9,16,,,,"Tenerife","1ª",1997,42
45,15,33,44,11,12,13,,,,"Oviedo","1ª",1997,42
45,16,45,29,11,12,10,,,,"Sevilla","1ª",1997,42
44,17,36,36,10,14,10,,,,"Zaragoza","1ª",1997,42
