"GOLESLOCAL","GOLESVISITANTE","LOCAL","VISITANTE","DIVISION","TEMPORADA","NUMJORNADA"
0,0,"Dptivo. Coruña","Zaragoza","1ª",1973,20
0,0,"Valencia","Granada","1ª",1973,20
0,0,"Oviedo","Barcelona","1ª",1973,20
1,0,"Betis","At. Madrid","1ª",1973,20
2,1,"Real Madrid","Las Palmas","1ª",1973,20
3,0,"Espanyol","Sporting Gijón","1ª",1973,20
1,1,"Ath. Bilbao","Castellón","1ª",1973,20
1,0,"Real Sociedad","Celta","1ª",1973,20
3,0,"Málaga (C.D.)","Burgos","1ª",1973,20
0,0,"Burgos","Dptivo. Coruña","1ª",1973,21
0,1,"Zaragoza","Valencia","1ª",1973,21
4,0,"Granada","Oviedo","1ª",1973,21
2,0,"Barcelona","Betis","1ª",1973,21
1,2,"At. Madrid","Real Madrid","1ª",1973,21
0,2,"Las Palmas","Espanyol","1ª",1973,21
2,0,"Sporting Gijón","Ath. Bilbao","1ª",1973,21
3,0,"Castellón","Real Sociedad","1ª",1973,21
1,0,"Celta","Málaga (C.D.)","1ª",1973,21
0,1,"Valencia","Dptivo. Coruña","1ª",1973,22
2,0,"Oviedo","Zaragoza","1ª",1973,22
0,0,"Betis","Granada","1ª",1973,22
0,0,"Real Madrid","Barcelona","1ª",1973,22
2,1,"Espanyol","At. Madrid","1ª",1973,22
1,0,"Ath. Bilbao","Las Palmas","1ª",1973,22
0,0,"Real Sociedad","Sporting Gijón","1ª",1973,22
1,1,"Málaga (C.D.)","Castellón","1ª",1973,22
1,0,"Celta","Burgos","1ª",1973,22
2,1,"Burgos","Valencia","1ª",1973,23
1,1,"Dptivo. Coruña","Oviedo","1ª",1973,23
3,2,"Zaragoza","Betis","1ª",1973,23
1,2,"Granada","Real Madrid","1ª",1973,23
0,1,"Barcelona","Espanyol","1ª",1973,23
2,1,"At. Madrid","Ath. Bilbao","1ª",1973,23
1,0,"Las Palmas","Real Sociedad","1ª",1973,23
2,0,"Sporting Gijón","Málaga (C.D.)","1ª",1973,23
5,1,"Castellón","Celta","1ª",1973,23
3,1,"Oviedo","Valencia","1ª",1973,24
2,0,"Betis","Dptivo. Coruña","1ª",1973,24
0,0,"Real Madrid","Zaragoza","1ª",1973,24
2,1,"Espanyol","Granada","1ª",1973,24
0,1,"Ath. Bilbao","Barcelona","1ª",1973,24
0,1,"Real Sociedad","At. Madrid","1ª",1973,24
0,1,"Málaga (C.D.)","Las Palmas","1ª",1973,24
3,0,"Celta","Sporting Gijón","1ª",1973,24
3,1,"Castellón","Burgos","1ª",1973,24
0,1,"Burgos","Oviedo","1ª",1973,25
2,0,"Valencia","Betis","1ª",1973,25
0,0,"Dptivo. Coruña","Real Madrid","1ª",1973,25
1,0,"Zaragoza","Espanyol","1ª",1973,25
0,0,"Granada","Ath. Bilbao","1ª",1973,25
1,0,"Barcelona","Real Sociedad","1ª",1973,25
1,1,"At. Madrid","Málaga (C.D.)","1ª",1973,25
0,0,"Las Palmas","Celta","1ª",1973,25
1,0,"Sporting Gijón","Castellón","1ª",1973,25
0,0,"Betis","Oviedo","1ª",1973,26
2,1,"Real Madrid","Valencia","1ª",1973,26
2,1,"Espanyol","Dptivo. Coruña","1ª",1973,26
1,0,"Ath. Bilbao","Zaragoza","1ª",1973,26
1,0,"Real Sociedad","Granada","1ª",1973,26
2,1,"Málaga (C.D.)","Barcelona","1ª",1973,26
0,1,"Celta","At. Madrid","1ª",1973,26
2,1,"Castellón","Las Palmas","1ª",1973,26
1,2,"Sporting Gijón","Burgos","1ª",1973,26
2,1,"Burgos","Betis","1ª",1973,27
1,2,"Oviedo","Real Madrid","1ª",1973,27
1,0,"Valencia","Espanyol","1ª",1973,27
2,1,"Dptivo. Coruña","Ath. Bilbao","1ª",1973,27
1,1,"Zaragoza","Real Sociedad","1ª",1973,27
2,0,"Granada","Málaga (C.D.)","1ª",1973,27
2,0,"Barcelona","Celta","1ª",1973,27
1,0,"At. Madrid","Castellón","1ª",1973,27
1,1,"Las Palmas","Sporting Gijón","1ª",1973,27
1,1,"Real Madrid","Betis","1ª",1973,28
3,0,"Espanyol","Oviedo","1ª",1973,28
2,0,"Ath. Bilbao","Valencia","1ª",1973,28
2,0,"Real Sociedad","Dptivo. Coruña","1ª",1973,28
2,1,"Málaga (C.D.)","Zaragoza","1ª",1973,28
0,0,"Celta","Granada","1ª",1973,28
4,0,"Castellón","Barcelona","1ª",1973,28
2,3,"Sporting Gijón","At. Madrid","1ª",1973,28
4,1,"Las Palmas","Burgos","1ª",1973,28
2,3,"Burgos","Real Madrid","1ª",1973,29
2,2,"Betis","Espanyol","1ª",1973,29
2,1,"Oviedo","Ath. Bilbao","1ª",1973,29
1,0,"Valencia","Real Sociedad","1ª",1973,29
1,0,"Dptivo. Coruña","Málaga (C.D.)","1ª",1973,29
2,2,"Zaragoza","Celta","1ª",1973,29
1,1,"Granada","Castellón","1ª",1973,29
3,1,"Barcelona","Sporting Gijón","1ª",1973,29
2,1,"At. Madrid","Las Palmas","1ª",1973,29
1,0,"Espanyol","Real Madrid","1ª",1973,30
1,1,"Ath. Bilbao","Betis","1ª",1973,30
1,2,"Real Sociedad","Oviedo","1ª",1973,30
1,1,"Málaga (C.D.)","Valencia","1ª",1973,30
1,0,"Celta","Dptivo. Coruña","1ª",1973,30
1,1,"Castellón","Zaragoza","1ª",1973,30
2,0,"Sporting Gijón","Granada","1ª",1973,30
2,1,"Las Palmas","Barcelona","1ª",1973,30
4,2,"At. Madrid","Burgos","1ª",1973,30
1,1,"Burgos","Espanyol","1ª",1973,31
3,3,"Real Madrid","Ath. Bilbao","1ª",1973,31
1,1,"Betis","Real Sociedad","1ª",1973,31
0,0,"Oviedo","Málaga (C.D.)","1ª",1973,31
1,0,"Valencia","Celta","1ª",1973,31
1,1,"Dptivo. Coruña","Castellón","1ª",1973,31
3,1,"Zaragoza","Sporting Gijón","1ª",1973,31
1,0,"Granada","Las Palmas","1ª",1973,31
0,0,"Barcelona","At. Madrid","1ª",1973,31
1,0,"Ath. Bilbao","Espanyol","1ª",1973,32
1,1,"Real Sociedad","Real Madrid","1ª",1973,32
0,0,"Málaga (C.D.)","Betis","1ª",1973,32
4,2,"Celta","Oviedo","1ª",1973,32
1,3,"Castellón","Valencia","1ª",1973,32
0,0,"Sporting Gijón","Dptivo. Coruña","1ª",1973,32
1,1,"Las Palmas","Zaragoza","1ª",1973,32
2,1,"At. Madrid","Granada","1ª",1973,32
2,0,"Barcelona","Burgos","1ª",1973,32
4,0,"Ath. Bilbao","Burgos","1ª",1973,33
1,1,"Espanyol","Real Sociedad","1ª",1973,33
2,0,"Real Madrid","Málaga (C.D.)","1ª",1973,33
1,0,"Betis","Celta","1ª",1973,33
0,0,"Oviedo","Castellón","1ª",1973,33
1,0,"Valencia","Sporting Gijón","1ª",1973,33
2,2,"Dptivo. Coruña","Las Palmas","1ª",1973,33
1,1,"Zaragoza","At. Madrid","1ª",1973,33
0,2,"Granada","Barcelona","1ª",1973,33
1,0,"Real Sociedad","Ath. Bilbao","1ª",1973,34
0,1,"Málaga (C.D.)","Espanyol","1ª",1973,34
3,0,"Celta","Real Madrid","1ª",1973,34
3,1,"Castellón","Betis","1ª",1973,34
1,0,"Sporting Gijón","Oviedo","1ª",1973,34
1,0,"Las Palmas","Valencia","1ª",1973,34
3,1,"At. Madrid","Dptivo. Coruña","1ª",1973,34
1,1,"Barcelona","Zaragoza","1ª",1973,34
2,1,"Burgos","Granada","1ª",1973,34
2,1,"Mallorca","Rayo Vallecano","2ª",1973,1
3,0,"Barakaldo","Pontevedra","2ª",1973,1
1,2,"Sant Andreu","Gimn. Tarragona","2ª",1973,1
3,2,"Elche","Cult. Leonesa","2ª",1973,1
3,0,"Sevilla","Tenerife","2ª",1973,1
1,1,"Valladolid","Hércules","2ª",1973,1
0,0,"Valencia B","Murcia","2ª",1973,1
3,1,"Cádiz","Sabadell","2ª",1973,1
2,1,"Córdoba","Logroñés","2ª",1973,1
0,1,"Osasuna","Rac. Santander","2ª",1973,1
7,0,"Rayo Vallecano","Osasuna","2ª",1973,2
1,3,"Pontevedra","Mallorca","2ª",1973,2
2,0,"Gimn. Tarragona","Barakaldo","2ª",1973,2
1,2,"Cult. Leonesa","Sant Andreu","2ª",1973,2
0,0,"Tenerife","Elche","2ª",1973,2
1,1,"Hércules","Sevilla","2ª",1973,2
2,1,"Murcia","Valladolid","2ª",1973,2
2,1,"Sabadell","Valencia B","2ª",1973,2
3,3,"Logroñés","Cádiz","2ª",1973,2
1,0,"Rac. Santander","Córdoba","2ª",1973,2
2,2,"Rayo Vallecano","Pontevedra","2ª",1973,3
2,0,"Mallorca","Gimn. Tarragona","2ª",1973,3
1,2,"Barakaldo","Cult. Leonesa","2ª",1973,3
1,0,"Sant Andreu","Tenerife","2ª",1973,3
3,0,"Elche","Hércules","2ª",1973,3
1,1,"Sevilla","Murcia","2ª",1973,3
1,1,"Valladolid","Sabadell","2ª",1973,3
1,1,"Valencia B","Logroñés","2ª",1973,3
0,1,"Cádiz","Rac. Santander","2ª",1973,3
2,2,"Osasuna","Córdoba","2ª",1973,3
1,2,"Pontevedra","Osasuna","2ª",1973,4
2,0,"Gimn. Tarragona","Rayo Vallecano","2ª",1973,4
0,0,"Cult. Leonesa","Mallorca","2ª",1973,4
0,0,"Tenerife","Barakaldo","2ª",1973,4
1,0,"Hércules","Sant Andreu","2ª",1973,4
2,0,"Murcia","Elche","2ª",1973,4
0,1,"Sabadell","Sevilla","2ª",1973,4
1,2,"Logroñés","Valladolid","2ª",1973,4
2,0,"Rac. Santander","Valencia B","2ª",1973,4
2,0,"Córdoba","Cádiz","2ª",1973,4
3,0,"Pontevedra","Gimn. Tarragona","2ª",1973,5
1,1,"Rayo Vallecano","Cult. Leonesa","2ª",1973,5
3,0,"Mallorca","Tenerife","2ª",1973,5
2,0,"Barakaldo","Hércules","2ª",1973,5
3,2,"Sant Andreu","Murcia","2ª",1973,5
1,0,"Elche","Sabadell","2ª",1973,5
0,0,"Sevilla","Logroñés","2ª",1973,5
0,0,"Valladolid","Rac. Santander","2ª",1973,5
0,1,"Valencia B","Córdoba","2ª",1973,5
1,0,"Osasuna","Cádiz","2ª",1973,5
1,0,"Gimn. Tarragona","Osasuna","2ª",1973,6
1,1,"Cult. Leonesa","Pontevedra","2ª",1973,6
1,0,"Tenerife","Rayo Vallecano","2ª",1973,6
2,0,"Hércules","Mallorca","2ª",1973,6
6,0,"Murcia","Barakaldo","2ª",1973,6
1,1,"Sabadell","Sant Andreu","2ª",1973,6
0,1,"Logroñés","Elche","2ª",1973,6
1,0,"Rac. Santander","Sevilla","2ª",1973,6
2,3,"Córdoba","Valladolid","2ª",1973,6
1,1,"Cádiz","Valencia B","2ª",1973,6
4,0,"Gimn. Tarragona","Cult. Leonesa","2ª",1973,7
2,1,"Pontevedra","Tenerife","2ª",1973,7
2,1,"Rayo Vallecano","Hércules","2ª",1973,7
1,0,"Mallorca","Murcia","2ª",1973,7
1,0,"Barakaldo","Sabadell","2ª",1973,7
1,1,"Sant Andreu","Logroñés","2ª",1973,7
1,1,"Elche","Rac. Santander","2ª",1973,7
3,1,"Sevilla","Córdoba","2ª",1973,7
1,0,"Valladolid","Cádiz","2ª",1973,7
1,0,"Osasuna","Valencia B","2ª",1973,7
1,0,"Cult. Leonesa","Osasuna","2ª",1973,8
1,0,"Tenerife","Gimn. Tarragona","2ª",1973,8
2,1,"Hércules","Pontevedra","2ª",1973,8
2,1,"Murcia","Rayo Vallecano","2ª",1973,8
0,1,"Sabadell","Mallorca","2ª",1973,8
1,1,"Logroñés","Barakaldo","2ª",1973,8
1,1,"Rac. Santander","Sant Andreu","2ª",1973,8
1,2,"Córdoba","Elche","2ª",1973,8
1,1,"Cádiz","Sevilla","2ª",1973,8
0,0,"Valencia B","Valladolid","2ª",1973,8
0,0,"Cult. Leonesa","Tenerife","2ª",1973,9
1,0,"Gimn. Tarragona","Hércules","2ª",1973,9
0,1,"Pontevedra","Murcia","2ª",1973,9
3,0,"Rayo Vallecano","Sabadell","2ª",1973,9
0,0,"Mallorca","Logroñés","2ª",1973,9
0,0,"Barakaldo","Rac. Santander","2ª",1973,9
1,0,"Sant Andreu","Córdoba","2ª",1973,9
3,0,"Elche","Cádiz","2ª",1973,9
3,0,"Sevilla","Valencia B","2ª",1973,9
0,0,"Osasuna","Valladolid","2ª",1973,9
2,0,"Tenerife","Osasuna","2ª",1973,10
3,1,"Hércules","Cult. Leonesa","2ª",1973,10
3,1,"Murcia","Gimn. Tarragona","2ª",1973,10
3,1,"Sabadell","Pontevedra","2ª",1973,10
2,0,"Logroñés","Rayo Vallecano","2ª",1973,10
1,0,"Rac. Santander","Mallorca","2ª",1973,10
2,0,"Córdoba","Barakaldo","2ª",1973,10
6,0,"Cádiz","Sant Andreu","2ª",1973,10
2,3,"Valencia B","Elche","2ª",1973,10
1,1,"Valladolid","Sevilla","2ª",1973,10
3,0,"Tenerife","Hércules","2ª",1973,11
1,3,"Cult. Leonesa","Murcia","2ª",1973,11
2,1,"Gimn. Tarragona","Sabadell","2ª",1973,11
1,1,"Pontevedra","Logroñés","2ª",1973,11
2,0,"Rayo Vallecano","Rac. Santander","2ª",1973,11
2,0,"Mallorca","Córdoba","2ª",1973,11
1,1,"Barakaldo","Cádiz","2ª",1973,11
0,0,"Sant Andreu","Valencia B","2ª",1973,11
1,2,"Elche","Valladolid","2ª",1973,11
1,1,"Osasuna","Sevilla","2ª",1973,11
2,0,"Hércules","Osasuna","2ª",1973,12
3,0,"Murcia","Tenerife","2ª",1973,12
2,0,"Sabadell","Cult. Leonesa","2ª",1973,12
1,1,"Logroñés","Gimn. Tarragona","2ª",1973,12
1,0,"Rac. Santander","Pontevedra","2ª",1973,12
2,0,"Córdoba","Rayo Vallecano","2ª",1973,12
2,0,"Cádiz","Mallorca","2ª",1973,12
0,1,"Valencia B","Barakaldo","2ª",1973,12
1,1,"Valladolid","Sant Andreu","2ª",1973,12
2,0,"Sevilla","Elche","2ª",1973,12
0,1,"Hércules","Murcia","2ª",1973,13
1,1,"Tenerife","Sabadell","2ª",1973,13
3,2,"Cult. Leonesa","Logroñés","2ª",1973,13
1,0,"Gimn. Tarragona","Rac. Santander","2ª",1973,13
0,0,"Pontevedra","Córdoba","2ª",1973,13
1,2,"Rayo Vallecano","Cádiz","2ª",1973,13
1,1,"Mallorca","Valencia B","2ª",1973,13
2,0,"Barakaldo","Valladolid","2ª",1973,13
1,0,"Sant Andreu","Sevilla","2ª",1973,13
1,0,"Osasuna","Elche","2ª",1973,13
1,0,"Murcia","Osasuna","2ª",1973,14
0,0,"Sabadell","Hércules","2ª",1973,14
3,0,"Logroñés","Tenerife","2ª",1973,14
2,1,"Rac. Santander","Cult. Leonesa","2ª",1973,14
1,0,"Córdoba","Gimn. Tarragona","2ª",1973,14
2,0,"Cádiz","Pontevedra","2ª",1973,14
2,1,"Valencia B","Rayo Vallecano","2ª",1973,14
3,1,"Valladolid","Mallorca","2ª",1973,14
0,1,"Sevilla","Barakaldo","2ª",1973,14
2,0,"Elche","Sant Andreu","2ª",1973,14
5,2,"Murcia","Sabadell","2ª",1973,15
1,0,"Hércules","Logroñés","2ª",1973,15
4,1,"Tenerife","Rac. Santander","2ª",1973,15
3,0,"Cult. Leonesa","Córdoba","2ª",1973,15
2,1,"Gimn. Tarragona","Cádiz","2ª",1973,15
2,0,"Pontevedra","Valencia B","2ª",1973,15
0,2,"Rayo Vallecano","Valladolid","2ª",1973,15
1,1,"Mallorca","Sevilla","2ª",1973,15
0,0,"Barakaldo","Elche","2ª",1973,15
1,1,"Osasuna","Sant Andreu","2ª",1973,15
2,1,"Sabadell","Osasuna","2ª",1973,16
0,0,"Logroñés","Murcia","2ª",1973,16
1,0,"Rac. Santander","Hércules","2ª",1973,16
1,0,"Córdoba","Tenerife","2ª",1973,16
1,0,"Cádiz","Cult. Leonesa","2ª",1973,16
3,1,"Valencia B","Gimn. Tarragona","2ª",1973,16
1,0,"Valladolid","Pontevedra","2ª",1973,16
3,0,"Sevilla","Rayo Vallecano","2ª",1973,16
3,1,"Elche","Mallorca","2ª",1973,16
3,0,"Sant Andreu","Barakaldo","2ª",1973,16
0,2,"Sabadell","Logroñés","2ª",1973,17
4,1,"Murcia","Rac. Santander","2ª",1973,17
1,0,"Hércules","Córdoba","2ª",1973,17
0,1,"Tenerife","Cádiz","2ª",1973,17
2,1,"Cult. Leonesa","Valencia B","2ª",1973,17
2,1,"Gimn. Tarragona","Valladolid","2ª",1973,17
2,0,"Pontevedra","Sevilla","2ª",1973,17
0,1,"Rayo Vallecano","Elche","2ª",1973,17
2,1,"Mallorca","Sant Andreu","2ª",1973,17
1,0,"Osasuna","Barakaldo","2ª",1973,17
1,0,"Osasuna","Logroñés","2ª",1973,18
2,0,"Rac. Santander","Sabadell","2ª",1973,18
1,0,"Córdoba","Murcia","2ª",1973,18
2,1,"Cádiz","Hércules","2ª",1973,18
2,1,"Valencia B","Tenerife","2ª",1973,18
1,0,"Valladolid","Cult. Leonesa","2ª",1973,18
2,0,"Sevilla","Gimn. Tarragona","2ª",1973,18
2,0,"Elche","Pontevedra","2ª",1973,18
2,0,"Sant Andreu","Rayo Vallecano","2ª",1973,18
1,0,"Barakaldo","Mallorca","2ª",1973,18
0,3,"Logroñés","Rac. Santander","2ª",1973,19
3,3,"Sabadell","Córdoba","2ª",1973,19
2,1,"Murcia","Cádiz","2ª",1973,19
1,0,"Hércules","Valencia B","2ª",1973,19
1,0,"Tenerife","Valladolid","2ª",1973,19
1,2,"Cult. Leonesa","Sevilla","2ª",1973,19
1,1,"Gimn. Tarragona","Elche","2ª",1973,19
0,0,"Pontevedra","Sant Andreu","2ª",1973,19
2,2,"Rayo Vallecano","Barakaldo","2ª",1973,19
1,0,"Mallorca","Osasuna","2ª",1973,19
2,1,"Rayo Vallecano","Mallorca","2ª",1973,20
0,2,"Pontevedra","Barakaldo","2ª",1973,20
2,1,"Gimn. Tarragona","Sant Andreu","2ª",1973,20
0,0,"Cult. Leonesa","Elche","2ª",1973,20
2,0,"Tenerife","Sevilla","2ª",1973,20
1,0,"Hércules","Valladolid","2ª",1973,20
5,0,"Murcia","Valencia B","2ª",1973,20
3,1,"Sabadell","Cádiz","2ª",1973,20
4,0,"Logroñés","Córdoba","2ª",1973,20
1,0,"Rac. Santander","Osasuna","2ª",1973,20
4,2,"Osasuna","Rayo Vallecano","2ª",1973,21
0,1,"Mallorca","Pontevedra","2ª",1973,21
3,0,"Barakaldo","Gimn. Tarragona","2ª",1973,21
1,0,"Sant Andreu","Cult. Leonesa","2ª",1973,21
1,0,"Elche","Tenerife","2ª",1973,21
1,0,"Sevilla","Hércules","2ª",1973,21
2,0,"Valladolid","Murcia","2ª",1973,21
2,1,"Valencia B","Sabadell","2ª",1973,21
3,2,"Cádiz","Logroñés","2ª",1973,21
1,2,"Córdoba","Rac. Santander","2ª",1973,21
2,1,"Pontevedra","Rayo Vallecano","2ª",1973,22
0,1,"Gimn. Tarragona","Mallorca","2ª",1973,22
1,1,"Cult. Leonesa","Barakaldo","2ª",1973,22
0,1,"Tenerife","Sant Andreu","2ª",1973,22
2,1,"Hércules","Elche","2ª",1973,22
2,0,"Murcia","Sevilla","2ª",1973,22
1,0,"Sabadell","Valladolid","2ª",1973,22
1,1,"Logroñés","Valencia B","2ª",1973,22
1,0,"Rac. Santander","Cádiz","2ª",1973,22
4,0,"Córdoba","Osasuna","2ª",1973,22
2,0,"Osasuna","Pontevedra","2ª",1973,23
4,0,"Rayo Vallecano","Gimn. Tarragona","2ª",1973,23
2,0,"Mallorca","Cult. Leonesa","2ª",1973,23
1,1,"Barakaldo","Tenerife","2ª",1973,23
2,1,"Sant Andreu","Hércules","2ª",1973,23
1,1,"Elche","Murcia","2ª",1973,23
2,1,"Sevilla","Sabadell","2ª",1973,23
0,0,"Valladolid","Logroñés","2ª",1973,23
2,1,"Valencia B","Rac. Santander","2ª",1973,23
1,1,"Cádiz","Córdoba","2ª",1973,23
0,0,"Gimn. Tarragona","Pontevedra","2ª",1973,24
3,1,"Cult. Leonesa","Rayo Vallecano","2ª",1973,24
1,0,"Tenerife","Mallorca","2ª",1973,24
2,0,"Hércules","Barakaldo","2ª",1973,24
1,0,"Murcia","Sant Andreu","2ª",1973,24
1,0,"Sabadell","Elche","2ª",1973,24
3,1,"Logroñés","Sevilla","2ª",1973,24
2,0,"Rac. Santander","Valladolid","2ª",1973,24
0,0,"Córdoba","Valencia B","2ª",1973,24
1,0,"Cádiz","Osasuna","2ª",1973,24
2,1,"Osasuna","Gimn. Tarragona","2ª",1973,25
0,0,"Pontevedra","Cult. Leonesa","2ª",1973,25
2,0,"Rayo Vallecano","Tenerife","2ª",1973,25
1,0,"Mallorca","Hércules","2ª",1973,25
0,1,"Barakaldo","Murcia","2ª",1973,25
4,1,"Sant Andreu","Sabadell","2ª",1973,25
3,1,"Elche","Logroñés","2ª",1973,25
1,0,"Sevilla","Rac. Santander","2ª",1973,25
2,1,"Valladolid","Córdoba","2ª",1973,25
1,1,"Valencia B","Cádiz","2ª",1973,25
2,0,"Cult. Leonesa","Gimn. Tarragona","2ª",1973,26
3,1,"Tenerife","Pontevedra","2ª",1973,26
1,1,"Hércules","Rayo Vallecano","2ª",1973,26
1,0,"Murcia","Mallorca","2ª",1973,26
3,0,"Sabadell","Barakaldo","2ª",1973,26
1,3,"Logroñés","Sant Andreu","2ª",1973,26
0,0,"Rac. Santander","Elche","2ª",1973,26
0,0,"Córdoba","Sevilla","2ª",1973,26
3,2,"Cádiz","Valladolid","2ª",1973,26
0,1,"Valencia B","Osasuna","2ª",1973,26
1,0,"Osasuna","Cult. Leonesa","2ª",1973,27
0,0,"Gimn. Tarragona","Tenerife","2ª",1973,27
1,1,"Pontevedra","Hércules","2ª",1973,27
2,0,"Rayo Vallecano","Murcia","2ª",1973,27
3,0,"Mallorca","Sabadell","2ª",1973,27
2,1,"Barakaldo","Logroñés","2ª",1973,27
2,0,"Sant Andreu","Rac. Santander","2ª",1973,27
1,0,"Elche","Córdoba","2ª",1973,27
2,0,"Sevilla","Cádiz","2ª",1973,27
0,0,"Valladolid","Valencia B","2ª",1973,27
4,1,"Tenerife","Cult. Leonesa","2ª",1973,28
0,0,"Hércules","Gimn. Tarragona","2ª",1973,28
3,0,"Murcia","Pontevedra","2ª",1973,28
1,1,"Sabadell","Rayo Vallecano","2ª",1973,28
1,0,"Logroñés","Mallorca","2ª",1973,28
2,1,"Rac. Santander","Barakaldo","2ª",1973,28
4,0,"Córdoba","Sant Andreu","2ª",1973,28
1,1,"Cádiz","Elche","2ª",1973,28
0,0,"Valencia B","Sevilla","2ª",1973,28
2,0,"Valladolid","Osasuna","2ª",1973,28
1,1,"Osasuna","Tenerife","2ª",1973,29
1,4,"Cult. Leonesa","Hércules","2ª",1973,29
0,1,"Gimn. Tarragona","Murcia","2ª",1973,29
0,0,"Pontevedra","Sabadell","2ª",1973,29
1,0,"Rayo Vallecano","Logroñés","2ª",1973,29
0,0,"Mallorca","Rac. Santander","2ª",1973,29
3,2,"Barakaldo","Córdoba","2ª",1973,29
2,4,"Sant Andreu","Cádiz","2ª",1973,29
4,1,"Elche","Valencia B","2ª",1973,29
0,0,"Sevilla","Valladolid","2ª",1973,29
3,1,"Hércules","Tenerife","2ª",1973,30
0,1,"Murcia","Cult. Leonesa","2ª",1973,30
3,2,"Sabadell","Gimn. Tarragona","2ª",1973,30
0,0,"Logroñés","Pontevedra","2ª",1973,30
2,1,"Rac. Santander","Rayo Vallecano","2ª",1973,30
2,0,"Córdoba","Mallorca","2ª",1973,30
3,1,"Cádiz","Barakaldo","2ª",1973,30
1,1,"Valencia B","Sant Andreu","2ª",1973,30
0,0,"Valladolid","Elche","2ª",1973,30
1,1,"Sevilla","Osasuna","2ª",1973,30
1,0,"Osasuna","Hércules","2ª",1973,31
2,0,"Tenerife","Murcia","2ª",1973,31
0,0,"Cult. Leonesa","Sabadell","2ª",1973,31
2,2,"Gimn. Tarragona","Logroñés","2ª",1973,31
4,0,"Pontevedra","Rac. Santander","2ª",1973,31
3,0,"Rayo Vallecano","Córdoba","2ª",1973,31
0,0,"Mallorca","Cádiz","2ª",1973,31
4,2,"Barakaldo","Valencia B","2ª",1973,31
2,2,"Sant Andreu","Valladolid","2ª",1973,31
1,0,"Elche","Sevilla","2ª",1973,31
2,0,"Murcia","Hércules","2ª",1973,32
1,0,"Sabadell","Tenerife","2ª",1973,32
1,0,"Logroñés","Cult. Leonesa","2ª",1973,32
1,1,"Rac. Santander","Gimn. Tarragona","2ª",1973,32
2,1,"Córdoba","Pontevedra","2ª",1973,32
2,3,"Cádiz","Rayo Vallecano","2ª",1973,32
1,3,"Valencia B","Mallorca","2ª",1973,32
4,0,"Valladolid","Barakaldo","2ª",1973,32
0,0,"Sevilla","Sant Andreu","2ª",1973,32
1,0,"Elche","Osasuna","2ª",1973,32
1,0,"Osasuna","Murcia","2ª",1973,33
0,0,"Hércules","Sabadell","2ª",1973,33
3,0,"Tenerife","Logroñés","2ª",1973,33
1,2,"Cult. Leonesa","Rac. Santander","2ª",1973,33
1,1,"Gimn. Tarragona","Córdoba","2ª",1973,33
2,1,"Pontevedra","Cádiz","2ª",1973,33
1,1,"Rayo Vallecano","Valencia B","2ª",1973,33
0,1,"Mallorca","Valladolid","2ª",1973,33
2,1,"Barakaldo","Sevilla","2ª",1973,33
3,1,"Sant Andreu","Elche","2ª",1973,33
3,3,"Sabadell","Murcia","2ª",1973,34
1,2,"Logroñés","Hércules","2ª",1973,34
2,1,"Rac. Santander","Tenerife","2ª",1973,34
2,2,"Córdoba","Cult. Leonesa","2ª",1973,34
1,1,"Cádiz","Gimn. Tarragona","2ª",1973,34
1,0,"Valencia B","Pontevedra","2ª",1973,34
0,1,"Valladolid","Rayo Vallecano","2ª",1973,34
2,0,"Sevilla","Mallorca","2ª",1973,34
1,0,"Elche","Barakaldo","2ª",1973,34
3,3,"Sant Andreu","Osasuna","2ª",1973,34
1,3,"Osasuna","Sabadell","2ª",1973,35
1,0,"Murcia","Logroñés","2ª",1973,35
5,2,"Hércules","Rac. Santander","2ª",1973,35
1,0,"Tenerife","Córdoba","2ª",1973,35
1,1,"Cult. Leonesa","Cádiz","2ª",1973,35
2,0,"Gimn. Tarragona","Valencia B","2ª",1973,35
3,0,"Pontevedra","Valladolid","2ª",1973,35
2,1,"Rayo Vallecano","Sevilla","2ª",1973,35
2,2,"Mallorca","Elche","2ª",1973,35
1,1,"Barakaldo","Sant Andreu","2ª",1973,35
1,1,"Logroñés","Sabadell","2ª",1973,36
0,0,"Rac. Santander","Murcia","2ª",1973,36
4,2,"Córdoba","Hércules","2ª",1973,36
0,0,"Cádiz","Tenerife","2ª",1973,36
1,2,"Valencia B","Cult. Leonesa","2ª",1973,36
3,0,"Valladolid","Gimn. Tarragona","2ª",1973,36
5,2,"Sevilla","Pontevedra","2ª",1973,36
0,1,"Elche","Rayo Vallecano","2ª",1973,36
0,1,"Sant Andreu","Mallorca","2ª",1973,36
3,0,"Barakaldo","Osasuna","2ª",1973,36
2,1,"Logroñés","Osasuna","2ª",1973,37
3,0,"Sabadell","Rac. Santander","2ª",1973,37
1,0,"Murcia","Córdoba","2ª",1973,37
0,1,"Hércules","Cádiz","2ª",1973,37
1,1,"Tenerife","Valencia B","2ª",1973,37
2,1,"Cult. Leonesa","Valladolid","2ª",1973,37
0,1,"Gimn. Tarragona","Sevilla","2ª",1973,37
0,2,"Pontevedra","Elche","2ª",1973,37
4,1,"Rayo Vallecano","Sant Andreu","2ª",1973,37
1,1,"Mallorca","Barakaldo","2ª",1973,37
3,0,"Rac. Santander","Logroñés","2ª",1973,38
